# version=2017
# observatory
! mpcCode I11
# submitter
! name D. iRAC
# telescope
! aperture 8.4
! design Reflector
! detector CCD
# observers
! name D. iRAC
# measurers
! name D. iRAC
# comment
! line MPC-Rubin Observatory Integration Tests
trkSub|obsTime|ra|dec|rmsRA|rmsDec|mag|rmsMag|band|stn|mode|astCat
t0000000|2022-10-04T04:10:01.459Z|340.217854463612866|-31.237996266081268|0.036991444385328|0.043263808361851|21.199999999999999|0.084512848335291|y|I11|CCD|Gaia2
t0000000|2022-10-04T04:31:35.818Z|340.215383779626563|-31.237961128338014|0.024389561086074|0.028525105099772|21.199999999999999|0.068813682798747|y|I11|CCD|Gaia2
t0000000|2022-10-08T04:57:44.150Z|339.602567966648166|-31.208910252378868|0.030950287134117|0.036187165332785|21.247000000000000|0.092266704962589|y|I11|CCD|Gaia2
t0000000|2022-10-08T05:20:55.363Z|339.600181138799314|-31.208704351364513|0.031219776601789|0.036502167128355|21.253000000000000|0.074053835069707|z|I11|CCD|Gaia2
t0000000|2022-10-08T05:42:49.939Z|339.597960169267367|-31.208498107211049|0.039911769223234|0.046664741007583|21.253000000000000|0.085480142334057|z|I11|CCD|Gaia2
t0000000|2022-10-08T06:06:00.720Z|339.595549931653522|-31.208269226427678|0.049422410661738|0.057784419334782|21.248000000000001|0.124832234257533|y|I11|CCD|Gaia2
t0000000|2022-10-09T04:59:22.733Z|339.459749499440818|-31.195186647878160|0.065227842228211|0.076253480787776|21.259000000000000|0.132513706211647|y|I11|CCD|Gaia2
t0000000|2022-10-09T05:20:56.573Z|339.457567104013378|-31.194916932415794|0.051782493643947|0.060535271197928|21.259000000000000|0.121057625732389|y|I11|CCD|Gaia2
t0000000|2022-10-11T06:27:42.509Z|339.178351343607176|-31.158691773657512|0.073670465862203|0.086090059823033|21.234000000000002|0.095743514571247|i|I11|CCD|Gaia2
t0000000|2022-10-11T06:28:21.043Z|339.178312059621874|-31.158697939582328|0.080805666408620|0.094428124481389|21.234000000000002|0.101117492027424|i|I11|CCD|Gaia2
t0000000|2022-10-11T06:50:51.821Z|339.176227542407275|-31.158383501580339|0.051419674478574|0.060087936414106|21.288000000000000|0.094683109280613|z|I11|CCD|Gaia2
t0000000|2022-10-11T06:51:30.355Z|339.176159888467851|-31.158390960920212|0.056956812962478|0.066558512190154|21.288000000000000|0.100529916013239|z|I11|CCD|Gaia2
t0000000|2022-10-12T04:25:36.394Z|339.059422250342379|-31.139341943765483|0.014800628651394|0.017292228113431|21.244000000000000|0.033836110592926|i|I11|CCD|Gaia2
t0000000|2022-10-12T04:49:01.690Z|339.057283137985621|-31.138951021765791|0.025050809538400|0.029267848007562|21.298999999999999|0.055906346558020|z|I11|CCD|Gaia2
t0000000|2022-10-13T03:20:49.776Z|338.939008148164874|-31.116856712708000|0.013429631680170|0.015686712022502|21.454999999999998|0.029338086204041|r|I11|CCD|Gaia2
t0000000|2022-10-13T03:44:26.045Z|338.936906417371063|-31.116434446594891|0.013886989059381|0.016220864391846|21.254999999999999|0.029885308141361|i|I11|CCD|Gaia2
t0000000|2022-10-15T04:19:55.805Z|338.694303309574366|-31.061310558743372|0.022092803122484|0.025790801014885|22.129000000000001|0.041536828228855|g|I11|CCD|Gaia2
t0000000|2022-10-15T04:43:10.819Z|338.692389200361845|-31.060820912015600|0.021774124243571|0.025418646552814|21.478999999999999|0.036666769543702|r|I11|CCD|Gaia2
t0000000|2022-10-17T04:00:56.448Z|338.473872365846375|-30.997946091262623|0.018684058751497|0.021796979721482|22.151000000000000|0.029928965815514|g|I11|CCD|Gaia2
t0000000|2022-10-17T04:24:18.461Z|338.472091376954211|-30.997386052339646|0.028453760504402|0.033194195970267|21.500999999999998|0.035530837373869|r|I11|CCD|Gaia2
